hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
10103060_0,278961,369807,0.43,648768,0.43
10103060_1,281949,364665,0.436,646614,0.436
10103060_2,288367,360831,0.444,649198,0.444
10103060_3,287366,360152,0.444,647518,0.444
10103060_4,292369,356444,0.451,648813,0.451
10103060_5,300546,348352,0.463,648898,0.463
10103060_6,306388,341260,0.473,647648,0.473
10103060_7,307325,340171,0.475,647496,0.475
10103060_8,322703,326805,0.497,649508,0.497
10203060_0,285820,362002,0.441,647822,0.441
10203060_1,290651,356482,0.449,647133,0.449
10203060_2,294651,354367,0.454,649018,0.454
10203060_3,288351,359687,0.445,648038,0.445
10203060_4,294633,352886,0.455,647519,0.455
10203060_5,299311,348535,0.462,647846,0.462
10203060_6,299803,348928,0.462,648731,0.462
10203060_7,305280,343429,0.471,648709,0.471
10203060_8,314111,333809,0.485,647920,0.485
10303060_0,412873,235519,0.637,648392,0.637
10303060_1,405170,241693,0.626,646863,0.626
10303060_2,397672,250630,0.613,648302,0.613
10303060_3,405051,241554,0.626,646605,0.626
10303060_4,397809,250867,0.613,648676,0.613
10303060_5,388840,258807,0.6,647647,0.6
10303060_6,385925,261039,0.597,646964,0.597
10303060_7,380490,269092,0.586,649582,0.586
10303060_8,373480,275973,0.575,649453,0.575
10403060_0,424979,223553,0.655,648532,0.655
10403060_1,418752,229583,0.646,648335,0.646
10403060_2,417027,231076,0.643,648103,0.643
10403060_3,426284,222143,0.657,648427,0.657
10403060_4,416101,231866,0.642,647967,0.642
10403060_5,416047,231921,0.642,647968,0.642
10403060_6,412503,236533,0.636,649036,0.636
10403060_7,396876,250459,0.613,647335,0.613
10403060_8,401707,246973,0.619,648680,0.619
10503060_0,285293,362982,0.44,648275,0.44
10503060_1,290332,358726,0.447,649058,0.447
10503060_2,291846,356774,0.45,648620,0.45
10503060_3,298483,351290,0.459,649773,0.459
10503060_4,298582,348905,0.461,647487,0.461
10503060_5,305884,342657,0.472,648541,0.472
10503060_6,307493,341444,0.474,648937,0.474
10503060_7,304493,343328,0.47,647821,0.47
10503060_8,316060,330611,0.489,646671,0.489
10603060_0,420989,226401,0.65,647390,0.65
10603060_1,416958,232075,0.642,649033,0.642
10603060_2,406515,240870,0.628,647385,0.628
10603060_3,406668,241443,0.627,648111,0.627
10603060_4,395665,251392,0.611,647057,0.611
10603060_5,387662,260514,0.598,648176,0.598
10603060_6,374142,274851,0.576,648993,0.576
10603060_7,362476,286470,0.559,648946,0.559
10603060_8,353987,293984,0.546,647971,0.546
10703060_0,278854,369184,0.43,648038,0.43
10703060_1,278378,370601,0.429,648979,0.429
10703060_2,278182,369453,0.43,647635,0.43
10703060_3,297450,350018,0.459,647468,0.459
10703060_4,296294,352485,0.457,648779,0.457
10703060_5,300748,346772,0.464,647520,0.464
10703060_6,317287,330391,0.49,647678,0.49
10703060_7,314239,334286,0.485,648525,0.485
10703060_8,325555,322284,0.503,647839,0.503
10803060_0,287029,360777,0.443,647806,0.443
10803060_1,292201,356011,0.451,648212,0.451
10803060_2,295630,353763,0.455,649393,0.455
10803060_3,307722,341086,0.474,648808,0.474
10803060_4,306303,342718,0.472,649021,0.472
10803060_5,319835,327983,0.494,647818,0.494
10803060_6,316485,331011,0.489,647496,0.489
10803060_7,308495,338698,0.477,647193,0.477
10803060_8,331343,317555,0.511,648898,0.511
10903060_0,281720,367185,0.434,648905,0.434
10903060_1,290204,356403,0.449,646607,0.449
10903060_2,285747,360965,0.442,646712,0.442
10903060_3,276644,369974,0.428,646618,0.428
10903060_4,290716,357403,0.449,648119,0.449
10903060_5,283999,364352,0.438,648351,0.438
10903060_6,288902,360134,0.445,649036,0.445
10903060_7,301274,347033,0.465,648307,0.465
10903060_8,297853,350026,0.46,647879,0.46
11003060_0,283200,364598,0.437,647798,0.437
11003060_1,290573,358112,0.448,648685,0.448
11003060_2,294615,353691,0.454,648306,0.454
11003060_3,285521,362341,0.441,647862,0.441
11003060_4,295014,354152,0.454,649166,0.454
11003060_5,295703,352563,0.456,648266,0.456
11003060_6,294776,351429,0.456,646205,0.456
11003060_7,305127,343111,0.471,648238,0.471
11003060_8,307679,339305,0.476,646984,0.476
11103060_0,260656,389214,0.401,649870,0.401
11103060_1,273868,374335,0.423,648203,0.423
11103060_2,259555,388553,0.4,648108,0.4
11103060_3,250048,398229,0.386,648277,0.386
11103060_4,269269,378488,0.416,647757,0.416
11103060_5,249630,398732,0.385,648362,0.385
11103060_6,251490,396353,0.388,647843,0.388
11103060_7,273328,375241,0.421,648569,0.421
11103060_8,254167,394437,0.392,648604,0.392
11203060_0,363090,284754,0.56,647844,0.56
11203060_1,363171,284455,0.561,647626,0.561
11203060_2,355311,293326,0.548,648637,0.548
11203060_3,348444,300854,0.537,649298,0.537
11203060_4,349156,298577,0.539,647733,0.539
11203060_5,336838,310162,0.521,647000,0.521
11203060_6,335095,313882,0.516,648977,0.516
11203060_7,338374,310124,0.522,648498,0.522
11203060_8,327514,319821,0.506,647335,0.506
