pos,10104060, 10204060, 10304060, 10404060, 10504060, 10604060, 10704060, 10804060, 10904060, 11004060, 11104060, 11204060
0,0.43,0.442,0.636,0.655,0.44,0.65,0.431,0.442,0.434,0.438,0.401,0.56
1,0.435,0.448,0.626,0.646,0.447,0.643,0.429,0.45,0.449,0.447,0.422,0.561
2,0.446,0.454,0.612,0.643,0.45,0.627,0.431,0.456,0.44,0.455,0.401,0.548
3,0.443,0.445,0.627,0.657,0.459,0.627,0.459,0.475,0.428,0.44,0.386,0.537
4,0.45,0.453,0.615,0.642,0.462,0.611,0.457,0.471,0.448,0.455,0.415,0.539
5,0.463,0.461,0.602,0.643,0.471,0.598,0.464,0.494,0.439,0.457,0.384,0.521
6,0.471,0.463,0.596,0.635,0.474,0.577,0.49,0.489,0.445,0.458,0.389,0.516
7,0.476,0.471,0.586,0.612,0.471,0.558,0.485,0.477,0.466,0.469,0.421,0.522
8,0.496,0.484,0.575,0.619,0.489,0.547,0.501,0.511,0.46,0.477,0.392,0.507
