hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
110001_0,68751,63483,0.52,132234,0.52
110001_1,68056,63021,0.519,131077,0.519
110001_2,68403,63457,0.519,131860,0.519
110001_3,68067,63632,0.517,131699,0.517
110001_4,67822,64225,0.514,132047,0.514
110001_5,67903,63680,0.516,131583,0.516
110001_6,67701,63931,0.514,131632,0.514
110001_7,67721,64485,0.512,132206,0.512
110001_8,67537,64022,0.513,131559,0.513
110002_0,66288,65640,0.502,131928,0.502
110002_1,66742,65076,0.506,131818,0.506
110002_2,66970,64596,0.509,131566,0.509
110002_3,66697,65341,0.505,132038,0.505
110002_4,66721,65470,0.505,132191,0.505
110002_5,66368,65351,0.504,131719,0.504
110002_6,66863,64547,0.509,131410,0.509
110002_7,66890,64813,0.508,131703,0.508
110002_8,67359,64636,0.51,131995,0.51
110008_0,81579,50396,0.618,131975,0.618
110008_1,81453,50936,0.615,132389,0.615
110008_2,82638,49660,0.625,132298,0.625
110008_3,82092,48756,0.627,130848,0.627
110008_4,82538,50130,0.622,132668,0.622
110008_5,82988,48744,0.63,131732,0.63
110008_6,82977,48741,0.63,131718,0.63
110008_7,81858,49172,0.625,131030,0.625
110008_8,83657,48148,0.635,131805,0.635
110010_0,67345,64475,0.511,131820,0.511
110010_1,66259,65318,0.504,131577,0.504
110010_2,67183,64800,0.509,131983,0.509
110010_3,66636,64638,0.508,131274,0.508
110010_4,66243,65752,0.502,131995,0.502
110010_5,66836,64737,0.508,131573,0.508
110010_6,66793,64664,0.508,131457,0.508
110010_7,66556,65813,0.503,132369,0.503
110010_8,66573,64629,0.507,131202,0.507
110011_0,67447,63577,0.515,131024,0.515
110011_1,67536,64227,0.513,131763,0.513
110011_2,68010,63849,0.516,131859,0.516
110011_3,68210,63837,0.517,132047,0.517
110011_4,67882,64114,0.514,131996,0.514
110011_5,67719,63840,0.515,131559,0.515
110011_6,68723,64119,0.517,132842,0.517
110011_7,68064,63860,0.516,131924,0.516
110011_8,67301,64253,0.512,131554,0.512
110012_0,69328,63019,0.524,132347,0.524
110012_1,68278,63463,0.518,131741,0.518
110012_2,68717,62818,0.522,131535,0.522
110012_3,68362,63760,0.517,132122,0.517
110012_4,68024,63565,0.517,131589,0.517
110012_5,68236,63116,0.519,131352,0.519
110012_6,68166,63409,0.518,131575,0.518
110012_7,67606,63267,0.517,130873,0.517
110012_8,67817,63467,0.517,131284,0.517
110013_0,76877,55176,0.582,132053,0.582
110013_1,75428,56143,0.573,131571,0.573
110013_2,76488,55537,0.579,132025,0.579
110013_3,75255,56973,0.569,132228,0.569
110013_4,74131,57282,0.564,131413,0.564
110013_5,75210,56517,0.571,131727,0.571
110013_6,74209,57128,0.565,131337,0.565
110013_7,74338,58495,0.56,132833,0.56
110013_8,74882,57317,0.566,132199,0.566
110018_0,65086,66605,0.494,131691,0.494
110018_1,64780,66923,0.492,131703,0.492
110018_2,64907,67101,0.492,132008,0.492
110018_3,64014,67734,0.486,131748,0.486
110018_4,63537,68449,0.481,131986,0.481
110018_5,63651,67708,0.485,131359,0.485
110018_6,63972,68539,0.483,132511,0.483
110018_7,63346,68228,0.481,131574,0.481
110018_8,63588,67841,0.484,131429,0.484
110019_0,62806,69079,0.476,131885,0.476
110019_1,62607,68813,0.476,131420,0.476
110019_2,63436,68678,0.48,132114,0.48
110019_3,63352,68728,0.48,132080,0.48
110019_4,63609,68623,0.481,132232,0.481
110019_5,63102,68098,0.481,131200,0.481
110019_6,62916,68435,0.479,131351,0.479
110019_7,63403,69003,0.479,132406,0.479
110019_8,63693,68252,0.483,131945,0.483
110020_0,74880,56106,0.572,130986,0.572
110020_1,73986,57761,0.562,131747,0.562
110020_2,75563,56792,0.571,132355,0.571
110020_3,74148,57972,0.561,132120,0.561
110020_4,73445,58755,0.556,132200,0.556
110020_5,74814,57287,0.566,132101,0.566
110020_6,73485,57899,0.559,131384,0.559
110020_7,73070,58956,0.553,132026,0.553
110020_8,74276,56964,0.566,131240,0.566
110021_0,83130,48155,0.633,131285,0.633
110021_1,83508,48100,0.635,131608,0.635
110021_2,83805,48539,0.633,132344,0.633
110021_3,82985,48052,0.633,131037,0.633
110021_4,83650,48632,0.632,132282,0.632
110021_5,83242,48587,0.631,131829,0.631
110021_6,83722,48328,0.634,132050,0.634
110021_7,83347,48085,0.634,131432,0.634
110021_8,84031,47551,0.639,131582,0.639
110023_0,59464,72033,0.452,131497,0.452
110023_1,60080,71615,0.456,131695,0.456
110023_2,60133,71302,0.458,131435,0.458
110023_3,59790,72185,0.453,131975,0.453
110023_4,60682,71310,0.46,131992,0.46
110023_5,60697,71693,0.458,132390,0.458
110023_6,60716,71442,0.459,132158,0.459
110023_7,60714,71303,0.46,132017,0.46
110023_8,60971,70920,0.462,131891,0.462
110024_0,62898,69154,0.476,132052,0.476
110024_1,62903,69057,0.477,131960,0.477
110024_2,62988,68828,0.478,131816,0.478
110024_3,62963,69099,0.477,132062,0.477
110024_4,63014,68495,0.479,131509,0.479
110024_5,63294,69000,0.478,132294,0.478
110024_6,63068,68738,0.478,131806,0.478
110024_7,63361,68356,0.481,131717,0.481
110024_8,63467,68238,0.482,131705,0.482
110025_0,67034,64929,0.508,131963,0.508
110025_1,66914,65050,0.507,131964,0.507
110025_2,67511,63957,0.514,131468,0.514
110025_3,67212,63950,0.512,131162,0.512
110025_4,67478,64337,0.512,131815,0.512
110025_5,67535,63948,0.514,131483,0.514
