hero_id,win_count,loss_count,win_loss_ratio,battle_count,win_prob
107001_0,193331,173680,0.527,367011,0.527
107001_1,267715,444146,0.376,711861,0.376
107001_2,99033,58654,0.628,157687,0.628
107001_4,39619,18808,0.678,58427,0.678
107001_5,680,106,0.865,786,0.865
107002_0,62,6,0.912,68,0.912
107002_2,540366,551176,0.495,1091542,0.495
107002_3,1048,206,0.836,1254,0.836
107002_6,146606,57370,0.719,203976,0.719
107008_3,3376,2179,0.608,5555,0.608
107008_5,23386,15955,0.594,39341,0.594
107008_6,252854,208342,0.548,461196,0.548
107008_7,256,131,0.661,387,0.661
107008_8,376544,411786,0.478,788330,0.478
107010_0,366619,469606,0.438,836225,0.438
107010_2,756,540,0.583,1296,0.583
107010_3,191796,179900,0.516,371696,0.516
107010_5,287,129,0.69,416,0.69
107010_6,52283,34469,0.603,86752,0.603
107011_3,1176,1116,0.513,2292,0.513
107011_5,51176,46209,0.526,97385,0.526
107011_6,298067,338146,0.469,636213,0.469
107011_7,12564,10406,0.547,22970,0.547
107011_8,225276,310702,0.42,535978,0.42
107012_0,424566,516262,0.451,940828,0.451
107012_1,26353,21097,0.555,47450,0.555
107012_2,144379,120764,0.545,265143,0.545
107012_3,28339,11578,0.71,39917,0.71
107012_6,3573,856,0.807,4429,0.807
107013_0,270761,146192,0.649,416953,0.649
107013_1,312269,478237,0.395,790506,0.395
107013_2,63793,16577,0.794,80370,0.794
107013_3,260,24,0.915,284,0.915
107013_5,7792,783,0.909,8575,0.909
107018_0,329453,434519,0.431,763972,0.431
107018_1,90737,153932,0.371,244669,0.371
107018_2,102719,91534,0.529,194253,0.529
107018_3,50166,30716,0.62,80882,0.62
107018_6,7733,3600,0.682,11333,0.682
107019_2,388,935,0.293,1323,0.293
107019_4,99896,143050,0.411,242946,0.411
107019_5,310884,486634,0.39,797518,0.39
107019_7,2531,4100,0.382,6631,0.382
107019_8,107737,139594,0.436,247331,0.436
107020_0,14412,6082,0.703,20494,0.703
107020_1,1037,421,0.711,1458,0.711
107020_2,239471,200111,0.545,439582,0.545
107020_5,76570,37735,0.67,114305,0.67
107020_8,349022,372184,0.484,721206,0.484
107021_5,174,72,0.707,246,0.707
107021_6,172664,103321,0.626,275985,0.626
107021_8,539447,481076,0.529,1020523,0.529
107023_1,20061,40569,0.331,60630,0.331
107023_2,10079,15130,0.4,25209,0.4
107023_6,99281,172094,0.366,271375,0.366
107023_7,251689,337887,0.427,589576,0.427
107023_8,136252,214219,0.389,350471,0.389
107024_1,717,1901,0.274,2618,0.274
107024_4,34627,96330,0.264,130957,0.264
107024_6,118180,220850,0.349,339030,0.349
107024_7,228129,316463,0.419,544592,0.419
107024_8,123299,155975,0.441,279274,0.441
107025_2,3419,1649,0.675,5068,0.675
107025_3,658162,539156,0.55,1197318,0.55
107025_5,53268,39377,0.575,92645,0.575
107025_6,567,100,0.85,667,0.85
107026_0,496960,525750,0.486,1022710,0.486
107026_1,67428,53878,0.556,121306,0.556
107026_2,95153,37449,0.718,132602,0.718
107026_3,14867,2336,0.864,17203,0.864
107026_4,1246,156,0.889,1402,0.889
107027_6,43,6,0.878,49,0.878
107027_7,65522,33089,0.664,98611,0.664
107027_8,671013,524710,0.561,1195723,0.561
107031_0,30969,62558,0.331,93527,0.331
107031_1,4825,9943,0.327,14768,0.327
107031_6,101799,201036,0.336,302835,0.336
107031_7,254164,316581,0.445,570745,0.445
