"account_id","create_time","分析对象","阶段总和","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05","2021-03-06","2021-03-07","2021-03-08","2021-03-09","2021-03-10","2021-03-11","2021-03-12","2021-03-13","2021-03-14","2021-03-15","2021-03-16","2021-03-17","2021-03-18","2021-03-19","2021-03-20","2021-03-21","2021-03-22","2021-03-23","2021-03-24","2021-03-25","2021-03-26","2021-03-27","2021-03-28","2021-03-29","2021-03-30","2021-03-31","2021-04-01","2021-04-02","2021-04-03","2021-04-04","2021-04-05","2021-04-06","2021-04-07","2021-04-08","2021-04-09","2021-04-10","2021-04-11","2021-04-12","2021-04-13","2021-04-14","2021-04-15","2021-04-16","2021-04-17","2021-04-18","2021-04-19","2021-04-20","2021-04-21","2021-04-22","2021-04-23","2021-04-24","2021-04-25","2021-04-26","2021-04-27","2021-04-28","2021-04-29","2021-04-30","2021-05-01","2021-05-02","2021-05-03","2021-05-04","2021-05-05","2021-05-06","2021-05-07","2021-05-08","2021-05-09","2021-05-10","2021-05-11","2021-05-12","2021-05-13","2021-05-14","2021-05-15","2021-05-16","2021-05-17","2021-05-18","2021-05-19","2021-05-20"
"652583517257264","2021-04-02","s_stage.总次数","374","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","95","0","2","0","1","98","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","0","0","0","0","11","0","0","0","1","0","90","27","0","0","0","0","0","25","0"
"634557042996591","2021-03-29","s_stage.总次数","808","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","15","32","36","4","36","40","47","53","3","0","8","0","49","35","28","1","1","115","43","60","1","16","63","16","8","36","4","4","4","0","0","4","0","0","0","0","0","0","0","8","0","0","2","1","3","0","2","1","1","1","1","0"
"630237855189657","2021-03-28","s_stage.总次数","925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","47","82","41","95","4","0","0","61","61","25","110","125","55","24","41","0","39","8","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"649855962551366","2021-04-12","s_stage.总次数","628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","320","308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"672608042014306","2021-04-06","s_stage.总次数","871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","66","11","53","1","13","114","74","164","36","66","10","0","4","32","48","8","36","0","12","0","0","0","0","0","0","0","0","0","0","8","0","0","0","32","0","0","16","0","0","4","1","1","1","0"
"613745931741410","2021-04-09","s_stage.总次数","908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","248","152","100","48","68","20","12","120","8","0","0","24","0","0","0","16","0","0","0","20","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"649799337606808","2021-03-27","s_stage.总次数","969","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","171","20","8","12","37","23","52","50","1","1","56","60","72","4","16","4","8","20","32","0","8","32","0","0","4","3","2","32","28","1","3","28","1","1","1","9","1","1","3","1","1","1","1","1","10","75","13","1","1","1","1","1","15","0"
"640891519240691","2021-03-22","s_stage.总次数","1196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","98","40","40","48","40","4","4","16","0","0","64","20","40","32","32","0","68","40","0","12","28","8","0","4","20","0","0","0","0","0","100","0","0","0","28","0","52","28","28","20","0","44","40","0","0","0","48","12","16","4","20","0","0","16","0","4","48","0","0"
"623107184787257","2021-04-04","s_stage.总次数","1065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121","135","80","188","365","35","0","20","0","17","8","16","25","1","0","25","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"660227303147504","2021-04-04","s_stage.总次数","781","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","14","0","15","0","15","29","8","40","0","0","32","8","0","8","92","72","88","49","15","32","12","22","26","0","0","68","48","8","1","11","0","4","16","4","1","11","1","1","0","2","1","0","0","0","0","0"
